anio,bimestre,id_tipoEmision,id_tipoUso,id_alcaldia ,id_colonia,manzana,region,id_tipoDesarrollo,consumo
2017,1,1,2,10,1064,7,54,1,0
2017,2,1,2,10,1688,122,77,2,47.58
2017,4,1,3,10,241,221,54,1,642.34
2018,3,1,3,17,1474,210,22,2,18.91
2018,6,1,1,17,1447,226,23,1,1058.04
2017,1,1,3,7,795,48,565,2,115.05
2018,1,1,1,13,699,401,372,3,14.16
2019,3,2,1,5,550,115,16,2,19.91
2017,4,2,1,6,718,66,46,2,234.85
2018,5,1,3,17,1447,187,23,2,73.8
2018,3,1,2,17,1474,64,22,2,61.98
2017,3,1,2,10,1762,910,154,4,98.95
2019,3,1,1,5,543,116,48,2,162.26
2018,5,2,1,13,1511,117,158,4,20.27
2017,1,1,3,10,289,801,354,4,11687.1
2019,3,1,3,5,568,4,62,4,25.99
2017,6,1,1,5,524,409,168,4,503.71
2017,6,1,2,10,1290,335,54,1,89.65
2017,2,1,2,6,717,374,46,2,49.41
2017,5,1,1,10,1715,297,154,1,99.44
2017,4,1,1,10,1736,686,336,2,933.54
2017,5,1,3,5,591,175,45,1,122.55
2017,2,1,1,10,1711,780,77,1,5.49
2017,1,2,1,10,1493,990,154,4,111
2017,3,1,1,10,1745,28,376,4,55.91
2017,2,1,2,5,594,573,68,2,61.62
2018,4,1,3,13,1069,401,72,2,17.78
2017,3,1,2,15,443,198,11,1,133.89
2017,4,1,2,10,1663,308,37,4,655.04
2018,5,1,1,17,1436,404,23,2,56.65
2017,3,1,1,5,687,36,315,2,976.85
2017,4,1,2,5,708,107,63,2,811.01
2017,4,1,3,5,511,370,48,1,0
2017,6,1,3,5,675,221,45,1,37.82
2019,5,1,2,17,1467,271,19,2,81.15
2017,6,1,1,15,472,273,7,2,1371.01
2017,1,2,1,5,631,862,61,1,48.48
2021,5,1,2,7,883,368,465,4,27.45
2017,2,1,2,7,807,519,165,2,43.12
2017,5,1,1,5,613,318,48,4,0.61
2018,6,1,3,17,1447,328,23,1,0
2017,5,1,1,6,1094,538,24,1,1126.89
2017,2,1,1,5,1287,621,63,2,19.51
2021,1,1,3,16,1431,181,29,1,487.86
2021,4,1,2,8,1074,235,55,2,20.16
2019,2,1,2,6,723,959,46,3,343.06
2018,2,1,2,13,1542,670,71,2,262.32
2017,6,1,1,6,709,658,46,2,573.43
2019,1,2,1,17,1474,209,22,2,18.46
2017,3,2,1,10,1741,967,154,4,96.03
2017,1,1,1,15,451,19,8,3,1288.37
2019,3,1,1,17,1439,154,21,2,940.63
2021,4,2,1,13,49,389,58,3,155.2
2021,6,2,1,13,1069,390,72,4,68.52
2017,5,1,2,5,548,565,61,2,88.46
2017,5,1,2,7,993,226,47,2,203.14
2021,6,1,3,7,885,486,365,4,13.55
2017,2,2,1,6,752,563,46,2,44.98
2017,4,1,1,6,718,578,46,4,31.62
2017,1,1,1,10,782,29,54,4,2552.49
2019,4,1,2,5,595,500,68,4,40.92
2017,4,1,3,5,682,753,61,1,93.62
2017,2,1,2,15,445,5,4,3,72.18
2017,1,2,1,7,941,11,42,2,458.92
2017,1,2,1,5,554,152,63,2,20.55
2017,3,1,1,5,488,385,66,2,195.34
2019,4,1,2,17,1433,827,21,2,149.12
2017,6,1,1,5,607,605,61,2,134.26
2017,2,1,1,10,1764,526,37,4,852.45
2021,3,1,1,16,1155,6,30,1,148.26
2017,1,2,1,10,1493,981,154,4,83.25
2019,3,1,3,5,673,269,48,3,89.83
2017,3,1,2,5,647,163,66,3,88.44
2021,5,1,1,7,925,110,65,2,15.08
2018,3,1,3,17,1474,150,22,2,15.86
2017,3,1,1,15,465,9,13,1,774.66
2021,2,2,1,16,224,444,35,1,226.5
2017,4,1,3,5,509,282,268,2,0
2017,6,1,3,3,1058,185,160,4,31.72
2019,3,1,1,5,477,619,62,2,255.31
2017,6,1,2,7,885,633,65,4,163.47
2019,4,1,1,5,582,265,48,3,112.16
2019,3,2,1,6,729,388,24,3,164.01
2017,4,1,3,3,340,551,59,1,849.4
2019,4,1,3,12,773,892,73,4,4.96
2017,3,2,1,6,737,788,46,4,46.96
2017,1,1,3,5,544,235,48,3,46.02
2017,1,1,1,16,1153,23,28,1,655.93
2017,1,1,1,5,664,136,145,2,3.05
2017,6,1,3,15,187,198,7,3,310.31
2019,3,1,1,5,584,470,48,2,1423.18
2017,2,1,3,5,675,243,45,1,12.4
2017,5,1,2,6,729,368,24,1,23.79
2017,3,1,1,5,511,368,48,1,818.4
2021,6,1,3,7,1189,399,65,4,0
2019,2,1,1,17,1481,76,22,2,388.61
2017,3,2,1,3,1461,414,260,2,53.46
2017,5,1,1,3,333,284,160,1,333.28
2019,5,1,1,17,1467,396,19,2,387.63
2017,6,2,1,7,1764,51,147,2,175.7
2018,1,1,1,13,208,193,158,1,1390.02
2017,4,1,3,5,708,148,63,2,24.56
2018,6,1,3,6,753,243,24,3,42.09
2019,1,1,2,7,885,398,365,2,0
2018,5,1,1,13,1605,326,771,4,169.12
2017,5,1,1,5,638,336,63,2,426.05
2019,2,1,3,6,1189,278,24,2,3.66
2017,4,1,2,10,1592,772,336,4,53.42
2017,4,1,3,5,479,481,48,3,2.44
2018,3,1,2,6,717,245,46,4,21.36
2017,3,1,1,10,187,940,376,2,467.37
2021,3,1,1,13,1539,473,158,2,42.37
2017,5,1,3,8,948,997,75,1,6.71
2017,4,1,2,10,1595,750,77,4,22.32
2018,4,1,3,13,1069,795,72,4,8.06
2017,5,1,3,15,468,135,12,2,1734.88
2017,6,1,2,4,397,613,56,2,110.4
2019,2,2,1,7,212,517,369,2,62.97
2018,3,1,1,13,1542,664,71,2,582.52
2017,6,2,1,10,1592,341,336,4,224.72
2017,2,1,2,15,426,200,27,1,129.72
2017,1,1,2,5,624,448,61,4,103.25
2017,1,1,2,7,1758,506,47,4,274.78
2017,2,1,1,16,1153,67,28,1,319.61
2018,6,1,1,17,1447,305,23,3,10.18
2017,5,2,1,5,675,238,45,2,22.27
2021,5,1,2,7,811,877,569,2,34.56
2017,1,1,3,7,883,507,465,4,94.4
2019,5,1,1,6,743,440,24,4,34.86
2017,4,1,1,15,473,37,314,2,595.38
2021,1,1,1,16,1431,168,29,1,39.15
2017,5,1,2,7,993,237,47,2,93.91
2017,6,1,2,5,553,283,315,3,238.2
2017,5,1,2,5,548,536,61,2,519.3
2017,2,1,1,4,1225,671,56,3,189.46
2018,5,1,3,6,1189,280,24,2,26.23
2019,4,1,2,5,674,543,68,4,146.31
2017,2,1,2,6,738,807,46,2,15.24
2019,4,2,1,6,742,346,24,3,43.78
2017,3,1,3,16,1101,116,28,4,9.15
2019,4,1,1,5,1069,653,45,2,96.84
2017,2,1,1,10,1757,748,54,2,364.9
2017,2,1,2,5,638,404,63,2,204.38
2019,3,1,1,17,1458,307,20,2,1941.6
2017,4,1,3,6,753,215,24,3,83.69
2017,5,1,2,10,1715,287,154,4,377.6
2019,4,1,2,17,370,743,21,2,78.12
2017,5,1,1,7,807,906,465,4,208.9
2017,6,2,1,5,591,537,45,1,28.88
2017,4,1,3,5,548,534,61,4,1112.44
2018,5,1,2,17,1451,206,423,3,626.03
2021,4,2,1,13,104,102,158,2,38.8
2017,6,2,1,5,675,276,45,1,66.81
2019,5,1,1,5,708,77,63,4,636.5
2017,3,1,2,5,605,334,48,3,281.82
2017,1,2,1,15,451,41,8,3,148.96
2021,6,1,1,7,834,635,47,4,1647.4
2019,1,1,2,7,1005,623,469,2,84.73
2017,5,1,1,3,199,721,60,2,637.7
2019,3,2,1,5,673,253,48,3,60.87
2017,4,1,1,3,194,72,60,1,1366.8
2017,6,1,3,7,989,363,69,2,57.77
2017,1,1,1,16,1134,77,328,3,248.14
2017,3,1,2,10,1741,967,154,4,56.31
2017,5,1,1,5,638,306,63,2,46.36
2018,4,2,1,6,717,260,46,4,20.27
2017,6,1,1,6,709,617,46,2,574.69
2017,1,1,1,10,187,998,54,4,729.51
2019,6,1,1,6,717,432,46,2,354.61
2017,3,1,1,5,664,149,145,3,118.5
2019,3,1,2,5,544,298,48,2,67.06
2017,3,1,2,15,465,26,13,3,98.82
2021,5,1,2,7,800,828,65,2,11.92
2017,4,1,1,10,1736,684,336,2,459.01
2021,5,1,3,7,883,71,465,2,21.55
2017,5,1,2,7,993,675,47,2,211.35
2021,4,1,1,8,1079,282,55,3,250.04
2017,5,1,2,8,1079,306,55,3,1.22
2021,6,2,1,13,1069,169,772,4,239.82
2018,6,1,3,6,1189,508,146,4,3.05
2018,5,1,1,13,1542,674,71,2,147.62
2017,2,1,2,7,807,740,465,4,4.88
2019,1,1,2,17,1442,201,22,3,367.25
2019,3,1,1,6,729,429,24,3,900.6
2018,3,1,3,13,1542,678,71,4,29.6
2017,1,1,1,5,543,145,48,3,336.51
2017,6,1,1,3,1459,29,260,2,619.2
2017,3,1,3,3,314,958,60,1,0
2021,2,1,1,16,1114,537,35,1,3848.1
2019,2,2,1,7,212,422,369,2,629.7
2017,1,1,3,7,714,919,167,4,153.99
2019,1,1,2,17,1474,40,22,3,128.65
2017,5,1,3,5,548,613,61,2,37.13
2017,3,1,2,5,644,558,63,2,97.6
2017,2,1,2,15,426,198,27,1,392.7
2017,6,1,3,15,445,150,4,2,881.3
2018,3,1,1,6,717,112,146,2,346.38
2017,2,1,2,4,1225,600,56,3,112.26
2018,2,2,1,13,1605,296,771,4,19.49
2019,4,1,3,5,577,15,68,2,0
2017,2,1,1,16,187,211,328,2,1690.29
2017,5,1,3,6,729,488,24,1,30.18
2017,2,1,2,5,682,906,61,1,117.14
2017,4,1,1,10,1290,868,154,2,1381.18
2017,1,1,1,5,664,557,45,3,118.76
2021,1,1,1,16,1431,200,29,1,958.91
2017,4,1,3,5,202,388,45,4,0
2017,4,2,1,6,1592,579,46,2,746.07
2017,6,1,1,7,873,754,67,2,377.77
2019,5,1,2,17,1475,199,19,4,318.46
2017,1,1,2,7,1758,452,147,2,59.73
2021,3,1,2,13,1539,504,158,2,121.17
2017,5,1,3,15,468,42,12,2,774.85
2017,3,1,1,15,471,253,11,1,169.59
2019,1,2,1,7,1005,704,469,2,135.73
2018,3,1,1,17,1431,293,21,4,811.73
2017,5,1,3,5,591,529,61,1,306.23
2019,4,2,1,6,729,363,24,1,46.86
2019,2,1,3,5,690,202,62,4,21.96
2017,5,1,1,3,199,622,160,2,338.96
2017,2,1,1,15,445,4,4,4,115.11
2018,4,1,2,13,1508,738,58,4,48.36
2018,4,1,3,6,715,83,46,2,893.35
2019,5,1,1,6,1094,500,24,4,39.72
2019,4,1,1,5,201,51,48,4,26.04
2019,2,1,3,17,1481,20,22,3,70.15
2018,5,1,1,17,1454,11,423,2,901.01
2019,4,1,1,17,1458,145,20,2,1248.43
2017,4,1,3,15,451,72,8,2,595.2
2017,6,1,1,6,709,637,46,2,982.16
2017,2,1,2,5,632,301,61,1,52.16
2017,4,1,3,3,263,621,159,2,13.02
2017,4,1,2,5,727,746,145,4,61.96
2017,5,1,1,7,807,482,165,4,533.13
2017,3,1,1,5,1293,281,68,3,21.28
2019,1,1,3,7,1189,712,65,4,2.95
2017,6,1,1,5,607,817,61,2,1077.62
2021,4,1,2,13,49,295,58,4,19.65
2019,3,1,1,5,605,245,48,2,19.52
2018,1,1,1,13,49,517,72,2,47.2
2017,3,1,1,5,687,145,15,1,1374.84
2017,3,2,1,6,729,489,24,1,52.16
2017,1,2,1,5,637,190,61,3,78.4
2019,3,1,3,6,729,342,24,3,35.46
2019,3,1,1,5,426,225,63,4,59.14
2017,4,1,2,5,653,718,63,3,74.44
2017,4,1,3,5,595,473,68,2,53.32
2017,1,1,3,15,451,83,8,2,12.39
2019,6,1,2,6,1429,419,364,2,170.2
2017,2,1,2,10,1654,252,54,1,23.18
2021,6,1,3,7,768,726,147,2,7.93
2017,3,1,2,10,1738,372,76,4,300.64
2017,5,1,1,8,948,184,75,1,331.51
2017,6,1,1,7,800,819,65,2,34.77
2017,3,1,1,5,1040,504,62,2,48.64
2017,2,1,2,6,569,269,146,4,7.92
2021,5,1,1,7,187,662,147,2,1016.56
2021,3,1,1,16,1155,9,30,2,31.76
2017,5,1,3,3,275,621,60,1,8.54
2018,6,1,2,17,1447,5,23,3,476.77
2017,2,1,3,15,426,197,27,1,105.57
2017,6,1,3,15,445,34,4,2,27
2019,3,1,3,17,1458,172,20,2,148.85
2017,1,1,3,10,1745,139,376,3,78.47
2017,5,2,1,10,1756,735,254,2,59.76
2017,6,1,1,4,1615,660,356,2,263.53
2017,1,1,1,16,228,102,328,4,15.03
2017,6,1,1,5,675,253,45,4,31.11
2019,2,1,3,6,1189,274,24,2,6.93
2021,4,1,3,8,1079,287,55,1,42.34
2017,1,1,3,7,1017,927,67,2,14.16
2019,5,1,2,17,1430,194,19,2,83.6
2021,6,1,1,7,1755,217,165,2,57.95
2018,5,2,1,6,709,657,46,4,26.44
2021,5,1,2,7,188,859,165,2,94.98
2017,3,2,1,15,414,52,13,4,21.99
2017,3,1,3,3,314,945,60,1,0
2018,6,1,2,6,1189,586,46,4,329.99
2017,5,1,2,5,665,373,61,2,385.29
2017,2,1,3,16,187,44,328,4,17.08
2019,2,1,1,5,476,785,63,4,460.5
2017,1,1,3,15,451,101,1,4,1.77
2021,2,1,3,16,1119,204,35,1,40.26
2017,5,1,1,5,675,205,45,1,281.34
2018,5,1,2,17,473,19,17,4,89.63
2017,5,1,1,15,436,77,3,2,2028.26
2018,2,1,1,13,1535,111,158,1,770.92
2017,5,1,1,5,638,492,63,2,231.23
2017,2,1,1,5,524,301,268,4,96.89
2018,5,1,1,13,1497,589,71,2,146.39
2017,1,1,2,10,1762,938,154,4,2.37
2019,4,1,2,6,727,22,46,3,93.61
2019,1,1,1,17,187,41,21,2,944.77
2021,6,1,1,7,891,854,67,4,1150.74
2017,1,1,3,5,544,309,48,2,25.37
2017,4,1,1,6,753,237,24,4,26.47
2021,5,1,3,7,883,437,265,2,28.8
2017,3,1,1,5,582,184,48,3,342.78
2017,2,1,2,15,445,52,5,4,2251.5
2017,6,1,3,3,176,179,59,4,56.46
2019,5,1,3,5,694,393,45,1,535.34
2019,4,1,1,5,635,264,62,3,102.92
2019,1,1,1,7,1005,616,469,2,386.03
2019,1,2,1,17,1442,186,22,3,18.46
2017,6,1,1,6,709,630,46,4,672.49
2017,4,1,2,15,451,57,8,2,829.89
2019,4,1,2,5,595,346,168,4,33.94
2017,3,2,1,10,187,949,54,4,109.76
2021,3,1,2,16,167,42,31,2,611.97
2017,5,1,2,7,925,331,65,2,10.38
2017,3,1,1,15,443,222,11,4,4.68
2017,6,1,1,4,224,619,356,1,29272.89
2017,5,1,2,3,199,705,60,2,50.78
2021,4,1,1,13,1500,751,58,2,67.9
2019,3,1,1,6,729,416,24,1,51.95
2019,1,1,2,7,708,705,65,2,54.48
2017,3,1,3,5,538,211,145,2,1284.05
2019,2,1,2,7,212,511,369,2,136.39
2017,2,2,1,16,187,18,328,3,21.95
2018,6,1,1,17,1447,5,23,2,19.52
2017,3,1,3,16,1101,89,28,4,12.81
2019,2,1,2,6,711,188,146,4,14.64
2018,4,1,2,17,1407,144,18,2,109.14
2017,2,1,1,5,675,209,45,1,1255.59
2017,4,1,1,3,340,818,59,4,2315.52
2021,1,1,3,16,1431,169,29,1,399.96
2017,6,1,1,7,800,946,65,2,125.63
2017,4,1,2,10,1736,515,436,2,714.25
2017,5,1,1,8,1079,288,55,1,337.12
2018,1,1,1,13,1547,30,772,4,429.57
2019,4,1,2,17,1417,54,19,2,130.2
2017,6,2,1,5,675,254,45,1,66.81
2017,3,1,1,5,613,390,48,2,1569.26
2017,5,2,1,7,844,167,67,2,222.2
2019,5,1,1,6,729,395,24,2,7.09
2017,3,1,3,6,700,377,64,4,0
2021,2,2,1,16,1129,103,35,1,25.62
2017,1,1,2,10,1768,207,54,1,1112.28
2017,5,1,1,6,729,489,24,1,533.01
2017,5,1,2,10,1648,917,76,4,704.8
2017,1,2,1,5,664,195,145,2,116.8
2017,2,1,2,10,1757,124,54,2,535.04
2017,6,1,1,5,673,199,48,2,41.48
2019,3,1,3,17,1458,239,20,2,52.96
2018,4,1,3,13,1189,133,158,1,4.96
2017,5,1,1,3,275,616,60,2,24.4
2017,4,1,1,6,753,238,24,3,574.88
2017,3,1,1,10,1738,744,76,4,330.71
2017,4,1,1,5,624,516,61,2,597.67
2018,6,1,2,6,737,795,46,2,134.22
2017,4,1,1,5,697,832,68,4,547.92
2019,6,1,1,6,747,573,46,4,23.79
2019,2,1,1,17,1428,133,21,2,71.45
2017,2,1,1,4,1225,574,56,3,137.81
2017,6,1,2,7,844,254,67,2,96.48
2021,5,1,1,7,1005,645,469,4,521.5
2019,4,2,1,6,743,430,24,3,679.47
2017,6,1,3,3,804,442,160,4,136.64
2017,4,1,1,5,503,509,168,4,129.71
2021,3,1,2,13,1539,561,158,3,74.57
2017,3,1,3,15,414,60,13,2,746.03
2021,4,1,1,8,1063,129,55,4,1571.9
2018,3,1,2,13,1605,186,771,4,105.82
2017,6,1,1,6,709,101,146,2,364.54
2021,6,1,1,7,798,280,167,4,264.98
2017,1,1,3,5,544,300,48,3,31.86
2017,2,1,1,15,458,26,27,1,5352.65
2017,2,1,2,6,569,454,46,2,346.75
2019,3,1,1,5,534,626,62,3,194.41
2018,5,1,1,13,1535,841,58,4,33.55
2017,1,1,1,15,451,100,8,2,2382.69
2019,5,1,3,17,1458,78,20,2,27.45
2018,5,1,3,6,709,981,46,2,2.1
2017,1,1,3,7,708,728,47,4,147.5
2018,5,1,2,17,1454,13,423,1,176.85
2017,3,1,2,10,1762,909,154,4,48.4
2018,2,1,1,13,1535,122,158,1,156.41
2017,4,2,1,15,451,89,8,2,127.68
2017,4,1,2,5,271,350,48,2,396.64
2017,6,1,1,15,441,153,27,1,1506.15
2019,1,1,1,17,1474,130,22,2,985.07
2019,3,1,1,5,555,216,63,4,428.94
2021,5,1,3,7,883,687,565,2,0
2021,5,1,1,13,1189,155,158,4,142.15
2017,5,1,2,5,677,602,61,4,161.07
2017,6,1,3,5,658,327,268,2,11.59
2017,6,1,3,5,500,122,61,1,13.42
2017,2,1,1,5,662,715,61,4,40.87
2019,1,1,3,7,857,387,67,2,108.34
2017,1,1,1,7,948,741,147,2,180.69
2017,3,1,1,5,486,667,66,4,343.42
2017,1,1,1,10,96,399,254,4,941.11
2017,1,1,3,10,1628,564,37,4,221.64
2021,6,1,1,7,993,152,47,2,582.17
2019,2,1,2,5,638,329,63,1,24.8
2017,5,1,3,15,427,88,11,4,5585.72
2017,2,2,1,16,1134,68,328,3,47.54
2021,1,1,3,16,1431,209,29,1,28.32
2017,5,1,2,5,675,217,45,1,56.73
2017,5,1,1,10,1621,363,376,4,152.36
2019,4,1,1,17,1467,317,19,4,378.42
2017,3,2,1,3,974,758,160,3,21.96
2017,2,1,3,7,807,884,465,4,24.4
2019,3,1,2,6,743,442,24,1,73.58
2019,1,1,3,17,1442,191,22,3,2.36
2017,5,1,1,3,299,554,60,2,128.11
2017,5,1,1,8,948,189,75,2,247.06
2017,6,1,3,4,224,612,356,1,5348.06
2017,5,1,2,7,807,37,265,4,392.56
2017,1,1,2,5,548,543,61,2,298.34
2017,4,2,1,5,666,620,61,2,363.84
2017,5,1,1,10,1493,700,154,4,102.48
2019,1,1,3,7,866,173,465,2,15.88
2019,2,1,1,7,212,456,369,2,106.6
2021,4,1,1,8,427,61,55,2,1598.67
2018,4,1,2,6,717,269,46,2,146.27
2017,3,1,1,5,582,184,48,2,17.69
2017,3,1,1,5,489,917,63,2,948.81
2017,3,2,1,6,743,485,24,1,26.08
2017,4,1,2,3,338,587,160,2,30.51
2019,5,1,2,6,743,486,24,3,75.64
2017,1,2,1,16,228,102,328,4,878
2017,6,1,1,3,1459,399,260,2,808.92
2017,5,2,1,5,548,533,61,2,47.32
2017,4,1,2,5,548,539,61,2,564.48
2017,6,1,1,7,800,862,65,2,100.56
2019,2,2,1,17,1428,145,21,2,178.47
2017,6,1,1,7,917,704,165,2,21.35
2019,3,1,1,17,1458,273,20,2,1573.15
2021,4,1,2,13,1521,421,58,4,0
2019,4,1,2,5,488,180,63,4,26.04
2017,6,1,1,15,441,109,27,3,591.7
2017,2,1,1,5,591,517,45,3,86.62
2017,2,1,3,15,434,158,14,4,1.8
2019,3,1,1,5,550,50,16,2,12.37
2018,3,2,1,6,717,147,146,4,40.54
2021,3,1,1,13,1539,477,158,3,229.23
2017,6,1,1,5,557,111,15,4,28.29
2017,4,2,1,6,753,212,24,3,666.5
2018,1,1,1,13,1108,334,58,1,224.54
2017,3,1,3,10,1752,597,376,2,32.19
2017,5,2,1,5,614,243,61,1,36.48
2017,5,1,3,7,886,604,365,4,84.35
2017,6,1,1,5,607,611,61,3,26.72
2018,4,1,2,17,1483,41,18,2,24.52
2017,5,1,1,3,246,223,59,1,189.49
2017,1,1,2,5,664,561,45,3,23.61
2019,4,1,1,5,603,336,45,2,3486.24
2017,2,1,1,15,426,191,27,2,1.83
2017,6,2,1,6,709,612,46,4,26.87
2019,2,1,1,6,1189,289,24,2,648.41
2017,4,1,3,5,644,255,63,4,196.59
2017,1,1,3,15,456,109,14,2,10.62
2017,1,2,1,5,862,242,66,3,63.81
2021,3,2,1,16,1155,8,30,3,20.76
2017,3,1,2,16,187,28,328,3,91.58
2018,4,1,3,13,187,807,58,4,1527.68
2017,4,1,2,5,503,316,168,4,122.83
2019,1,1,1,7,714,506,167,2,1847.14
2017,5,1,3,10,1642,816,154,1,92.72
2017,5,1,1,3,199,727,60,2,675.7
2018,3,1,1,13,1605,187,771,4,310.87
2019,5,1,1,17,1458,133,20,2,948.35
2019,4,1,2,6,743,442,24,1,70.7
2017,6,1,1,4,224,582,356,4,1775.71
2019,5,1,3,5,475,473,45,2,0
2017,3,1,1,10,939,325,154,4,8.66
2017,2,1,2,4,1225,671,56,4,64.06
2017,2,1,2,5,677,603,61,3,46.38
2019,3,1,2,5,635,308,62,2,139.61
2017,4,1,3,5,670,904,61,2,83.14
2017,3,1,1,5,664,251,145,4,1308.02
2021,6,2,1,13,1069,401,72,2,34.26
2019,2,1,2,5,638,300,63,2,114.09
2019,2,1,1,7,212,457,369,2,973.31
2017,4,2,1,10,1736,519,436,2,150
2018,6,1,1,17,1447,223,23,2,41.82
2017,2,2,1,5,538,617,45,4,69.08
2018,2,1,1,13,1497,598,71,2,51.92
2021,5,2,1,7,1005,630,469,2,43.48
2021,4,1,2,8,1063,44,55,4,10.4
2017,5,1,2,6,1094,626,24,3,50.64
2017,5,1,2,10,1762,923,154,4,50.64
2017,5,1,3,15,461,221,10,2,982.13
2019,4,1,2,17,1467,333,19,2,192.84
2018,5,1,1,17,1451,225,423,2,36
2019,4,1,1,5,544,217,48,3,576.21
2019,3,1,3,6,729,489,24,1,31.72
2017,1,1,1,10,1588,940,54,4,187.26
2018,5,1,1,6,709,280,146,4,528.52
2017,1,1,2,7,948,564,147,4,160.8
2017,6,1,1,7,879,368,167,2,3.05
2017,2,1,3,7,807,36,265,4,195.2
2019,1,1,3,7,800,804,65,2,0
2017,5,1,1,7,807,985,265,2,611.55
2017,3,1,2,15,465,40,13,3,258.19
2019,3,1,3,5,433,14,63,2,43.11
2021,2,1,2,16,1147,56,34,2,333.07
